1291.2161,1712.502,633.267,1032.1605,1085.0254,2089.2432,891.5183,312.8971,4999.3213,706.23,1708.1376
1280.6292,1684.3591,615.2264,1030.5848,1057.489,2063.8418,878.7451,319.1309,4987.0225,706.5565,1719.005
1276.1001,1702.3063,636.9484,1019.635,1082.0645,2044.782,873.0364,313.4635,4961.144,687.3459,1681.7688
1279.62,1704.7563,621.7477,1022.153,1077.5046,2045.3323,873.3668,324.6461,4951.7407,698.6415,1663.6123
1267.2065,1653.9313,621.1332,1015.1532,1086.8032,2036.718,868.2897,324.6241,4964.866,686.8794,1693.8953
1276.644,1637.4586,615.9552,1017.2738,1071.9117,2039.8883,864.6373,333.0393,4920.604,685.29,1679.3428
1257.9868,1636.425,619.7383,1012.1687,1064.93,2024.243,867.002,315.4149,4898.284,700.4323,1685.3398
1269.362,1631.5381,608.7838,1018.406,1061.7499,2010.4204,871.7373,319.9098,4872.6455,691.5288,1671.813
1254.5123,1666.7406,614.7153,1005.5994,1085.9014,2007.4725,865.6008,317.7153,4864.7637,694.3763,1693.2318
1255.5731,1649.2242,603.6537,1003.5907,1056.6824,1995.7192,869.9985,315.4537,4834.7305,686.0143,1680.0776
1232.2898,1660.6206,602.4288,1004.3049,1072.8827,1996.458,869.0032,310.5355,4837.476,686.7275,1656.9595
1251.3208,1654.0168,604.7294,1001.2673,1069.1193,1983.804,856.1535,307.3322,4823.2256,681.1717,1661.183
1261.0852,1658.6869,611.6659,1000.8131,1053.561,1976.325,869.3801,309.9618,4807.66,688.8596,1660.3881
1235.3416,1644.8213,612.4073,995.2136,1079.4381,1954.7601,851.1768,295.1717,4775.762,668.0809,1653.2805
1239.2358,1663.7126,616.457,998.1493,1044.0208,1950.036,863.3069,295.2806,4778.1187,669.0881,1664.16
1247.6777,1645.6389,607.5219,993.8735,1031.2179,1971.2561,864.6985,310.0685,4767.8994,657.9411,1661.5686
1250.6678,1611.3074,603.4742,986.9835,1040.0343,1939.9406,859.7341,298.869,4756.8477,677.6963,1648.4966
1244.258,1628.4813,595.4874,987.2102,1055.5018,1937.9316,850.7436,309.1512,4749.199,662.1208,1657.2197
1238.6277,1660.625,595.3154,982.3221,1038.69,1917.4653,847.1483,309.3294,4735.1216,664.6567,1654.161
1237.1267,1642.46,597.3159,981.3292,1033.5527,1921.449,859.9955,309.0955,4706.709,665.5326,1640.2119
1240.5446,1588.9779,600.8985,987.0861,1030.8645,1926.2393,862.1552,299.8452,4685.885,673.0958,1646.8601
1240.3644,1632.9314,588.4579,974.9675,1032.8787,1910.9297,853.8544,311.6796,4699.846,664.3441,1650.5052
1232.4585,1623.9913,592.738,975.4053,1040.369,1908.0546,851.6346,298.9593,4689.843,670.7343,1647.3542
1204.0237,1641.7837,598.1777,968.5945,1030.0212,1889.9807,859.5424,301.2351,4670.2944,661.8422,1652.8551
1220.5669,1628.8105,581.9407,973.2009,999.6918,1894.3456,846.3245,310.7056,4649.421,679.2693,1629.5491
1214.7782,1659.6445,596.5198,970.4188,1048.3379,1886.4371,849.6862,301.5278,4639.1597,675.022,1640.3671
1230.4779,1631.6259,584.989,969.3261,1018.3743,1885.637,849.8581,304.4861,4632.5977,675.8672,1644.5022
1211.7916,1592.1934,611.298,971.5703,1020.0335,1890.3469,853.4097,294.381,4612.6377,663.6786,1634.8795
1214.5573,1605.3846,578.7272,976.001,1037.2197,1893.3408,846.1743,297.2972,4629.3223,674.8031,1618.8484
1203.3574,1612.3639,577.8589,964.1907,1020.5311,1882.5488,837.0992,299.1926,4603.29,688.5168,1634.902
1209.452,1637.2032,565.3134,965.0713,1024.2954,1889.029,835.7899,317.2528,4620.383,686.7432,1619.9609
1211.665,1650.7762,579.7774,966.6324,1025.8245,1868.8379,825.8461,292.0838,4584.0205,672.2838,1624.3956
