"Time Stamp","Time Zone","Name","PTID","Load"
"12/31/2024 00:00:00","EST","CAPITL",61757,1189.3694
"12/31/2024 00:00:00","EST","CENTRL",61754,1538.864
"12/31/2024 00:00:00","EST","DUNWOD",61760,561.5533
"12/31/2024 00:00:00","EST","GENESE",61753,992.5794
"12/31/2024 00:00:00","EST","HUD VL",61758,967.4659
"12/31/2024 00:00:00","EST","LONGIL",61762,1895.5037
"12/31/2024 00:00:00","EST","MHK VL",61756,841.0562
"12/31/2024 00:00:00","EST","MILLWD",61759,234.8326
"12/31/2024 00:00:00","EST","N.Y.C.",61761,4733.5522
"12/31/2024 00:00:00","EST","NORTH",61755,607.4874
"12/31/2024 00:00:00","EST","WEST",61752,1643.7606
"12/31/2024 00:05:00","EST","CAPITL",61757,1185.4275
"12/31/2024 00:05:00","EST","CENTRL",61754,1531.5122
"12/31/2024 00:05:00","EST","DUNWOD",61760,553.4661
"12/31/2024 00:05:00","EST","GENESE",61753,979.8475
"12/31/2024 00:05:00","EST","HUD VL",61758,973.2006
"12/31/2024 00:05:00","EST","LONGIL",61762,1892.9412
"12/31/2024 00:05:00","EST","MHK VL",61756,840.037
"12/31/2024 00:05:00","EST","MILLWD",61759,235.0736
"12/31/2024 00:05:00","EST","N.Y.C.",61761,4691.4424
"12/31/2024 00:05:00","EST","NORTH",61755,630.2786
"12/31/2024 00:05:00","EST","WEST",61752,1630.4811
"12/31/2024 00:10:00","EST","CAPITL",61757,1186.9076
"12/31/2024 00:10:00","EST","CENTRL",61754,1559.096
"12/31/2024 00:10:00","EST","DUNWOD",61760,559.3004
"12/31/2024 00:10:00","EST","GENESE",61753,976.166
"12/31/2024 00:10:00","EST","HUD VL",61758,952.3356
"12/31/2024 00:10:00","EST","LONGIL",61762,1895.1138
"12/31/2024 00:10:00","EST","MHK VL",61756,805.3353
"12/31/2024 00:10:00","EST","MILLWD",61759,252.2909
"12/31/2024 00:10:00","EST","N.Y.C.",61761,4668.014
"12/31/2024 00:10:00","EST","NORTH",61755,637.3183
"12/31/2024 00:10:00","EST","WEST",61752,1649.362
"12/31/2024 00:15:00","EST","CAPITL",61757,1185.597
