"Time Stamp","Time Zone","Name","PTID","Load"
"12/16/2024 00:00:00","EST","CAPITL",61757,1335.6296
"12/16/2024 00:00:00","EST","CENTRL",61754,1719.8613
"12/16/2024 00:00:00","EST","DUNWOD",61760,612.6476
"12/16/2024 00:00:00","EST","GENESE",61753,1025.7769
"12/16/2024 00:00:00","EST","HUD VL",61758,1093.4119
"12/16/2024 00:00:00","EST","LONGIL",61762,2052.2307
"12/16/2024 00:00:00","EST","MHK VL",61756,929.4778
"12/16/2024 00:00:00","EST","MILLWD",61759,310.171
"12/16/2024 00:00:00","EST","N.Y.C.",61761,5001.5435
"12/16/2024 00:00:00","EST","NORTH",61755,637.2032
"12/16/2024 00:00:00","EST","WEST",61752,1674.9734
"12/16/2024 00:05:00","EST","CAPITL",61757,1342.2112
"12/16/2024 00:05:00","EST","CENTRL",61754,1724.9395
"12/16/2024 00:05:00","EST","DUNWOD",61760,609.59
"12/16/2024 00:05:00","EST","GENESE",61753,1013.8427
"12/16/2024 00:05:00","EST","HUD VL",61758,1086.4197
"12/16/2024 00:05:00","EST","LONGIL",61762,2021.6646
"12/16/2024 00:05:00","EST","MHK VL",61756,915.587
"12/16/2024 00:05:00","EST","MILLWD",61759,306.23
"12/16/2024 00:05:00","EST","N.Y.C.",61761,4984.912
"12/16/2024 00:05:00","EST","NORTH",61755,648.8741
"12/16/2024 00:05:00","EST","WEST",61752,1705.791
"12/16/2024 00:10:00","EST","CAPITL",61757,1314.7183
"12/16/2024 00:10:00","EST","CENTRL",61754,1713.031
"12/16/2024 00:10:00","EST","DUNWOD",61760,617.4009
"12/16/2024 00:10:00","EST","GENESE",61753,1017.4709
"12/16/2024 00:10:00","EST","HUD VL",61758,1063.0676
"12/16/2024 00:10:00","EST","LONGIL",61762,1996.6699
"12/16/2024 00:10:00","EST","MHK VL",61756,919.3125
"12/16/2024 00:10:00","EST","MILLWD",61759,309.055
"12/16/2024 00:10:00","EST","N.Y.C.",61761,4953.0645
"12/16/2024 00:10:00","EST","NORTH",61755,648.877
"12/16/2024 00:10:00","EST","WEST",61752,1691.2207
"12/16/2024 00:15:00","EST","CAPITL",61757,1293.1077
"12/16/2024 00:15:00","EST","CENTRL",61754,1720.1528
"12/16/2024 00:15:00","EST","DUNWOD",61760,622.6596
"12/16/2024 00:15:00","EST","GENESE",61753,1010.8872
"12/16/2024 00:15:00","EST","HUD VL",61758,1098.8679
"12/16/2024 00:15:00","EST","LONGIL",61762,1976.4655
