"Time Stamp","Time Zone","Name","PTID","Load"
"12/18/2024 00:00:00","EST","CAPITL",61757,1199.1843
"12/18/2024 00:00:00","EST","CENTRL",61754,1610.6509
"12/18/2024 00:00:00","EST","DUNWOD",61760,556.9177
"12/18/2024 00:00:00","EST","GENESE",61753,1016.0056
"12/18/2024 00:00:00","EST","HUD VL",61758,1003.3204
"12/18/2024 00:00:00","EST","LONGIL",61762,1904.846
"12/18/2024 00:00:00","EST","MHK VL",61756,831.7987
"12/18/2024 00:00:00","EST","MILLWD",61759,268.9421
"12/18/2024 00:00:00","EST","N.Y.C.",61761,4729.31
"12/18/2024 00:00:00","EST","NORTH",61755,589.6727
"12/18/2024 00:00:00","EST","WEST",61752,1737.9944
"12/18/2024 00:05:00","EST","CAPITL",61757,1183.0884
"12/18/2024 00:05:00","EST","CENTRL",61754,1646.9114
"12/18/2024 00:05:00","EST","DUNWOD",61760,560.6708
"12/18/2024 00:05:00","EST","GENESE",61753,997.5745
"12/18/2024 00:05:00","EST","HUD VL",61758,977.596
"12/18/2024 00:05:00","EST","LONGIL",61762,1901.5728
"12/18/2024 00:05:00","EST","MHK VL",61756,814.7878
"12/18/2024 00:05:00","EST","MILLWD",61759,268.6787
"12/18/2024 00:05:00","EST","N.Y.C.",61761,4690.205
"12/18/2024 00:05:00","EST","NORTH",61755,602.4315
"12/18/2024 00:05:00","EST","WEST",61752,1714.6091
"12/18/2024 00:10:00","EST","CAPITL",61757,1194.414
"12/18/2024 00:10:00","EST","CENTRL",61754,1636.1177
"12/18/2024 00:10:00","EST","DUNWOD",61760,556.8555
"12/18/2024 00:10:00","EST","GENESE",61753,996.1561
"12/18/2024 00:10:00","EST","HUD VL",61758,973.648
"12/18/2024 00:10:00","EST","LONGIL",61762,1894.5767
"12/18/2024 00:10:00","EST","MHK VL",61756,799.4888
"12/18/2024 00:10:00","EST","MILLWD",61759,264.0073
"12/18/2024 00:10:00","EST","N.Y.C.",61761,4679.857
"12/18/2024 00:10:00","EST","NORTH",61755,618.7626
"12/18/2024 00:10:00","EST","WEST",61752,1759.2305
"12/18/2024 00:15:00","EST","CAPITL",61757,1199.055
"12/18/2024 00:15:00","EST","CENTRL",61754,1643.4514
"12/18/2024 00:15:00","EST","DUNWOD",61760,554.0041
"12/18/2024 00:15:00","EST","GENESE",61753,999.1477
"12/18/2024 00:15:00","EST","HUD VL",61758,1003.8422
"12/18/2024 00:15:00","EST","LONGIL",61762,1877.04
"12/18/2024 00:15:00","EST","MHK VL",61756,804.7127
"12/18/2024 00:15:00","EST","MILLWD",61759,276.1794
"12/18/2024 00:15:00","EST","N.Y.C.",61761,4655.9307
"12/18/2024 00:15:00","EST","NORTH",61755,596.9666
"12/18/2024 00:15:00","EST","WEST",61752,1736.94
"12/18/2024 00:20:00","EST","CAPITL",61757,1168.7719
"12/18/2024 00:20:00","EST","CENTRL",61754,1603.092
"12/18/2024 00:20:00","EST","DUNWOD",61760,576.144
"12/18/2024 00:20:00","EST","GENESE",61753,985.7355
"12/18/2024 00:20:00","EST","HUD VL",61758,972.8687
"12/18/2024 00:20:00","EST","LONGIL",61762,1867.701
"12/18/2024 00:20:00","EST","MHK VL",61756,798.9805
"12/18/2024 00:20:00","EST","MILLWD",61759,255.4051
"12/18/2024 00:20:00","EST","N.Y.C.",61761,4607.209
"12/18/2024 00:20:00","EST","NORTH",61755,624.9858
"12/18/2024 00:20:00","EST","WEST",61752,1729.4263
"12/18/2024 00:25:00","EST","CAPITL",61757,1172.2605
"12/18/2024 00:25:00","EST","CENTRL",61754,1629.8987
"12/18/2024 00:25:00","EST","DUNWOD",61760,558.1035
"12/18/2024 00:25:00","EST","GENESE",61753,990.2761
"12/18/2024 00:25:00","EST","HUD VL",61758,972.0748
"12/18/2024 00:25:00","EST","LONGIL",61762,1868.8657
"12/18/2024 00:25:00","EST","MHK VL",61756,811.3536
"12/18/2024 00:25:00","EST","MILLWD",61759,262.484
"12/18/2024 00:25:00","EST","N.Y.C.",61761,4618.4336
"12/18/2024 00:25:00","EST","NORTH",61755,603.1117
"12/18/2024 00:25:00","EST","WEST",61752,1730.9196
"12/18/2024 00:30:00","EST","CAPITL",61757,1160.9259
"12/18/2024 00:30:00","EST","CENTRL",61754,1638.919
"12/18/2024 00:30:00","EST","DUNWOD",61760,553.7186
"12/18/2024 00:30:00","EST","GENESE",61753,988.5774
"12/18/2024 00:30:00","EST","HUD VL",61758,963.9996
"12/18/2024 00:30:00","EST","LONGIL",61762,1866.2682
"12/18/2024 00:30:00","EST","MHK VL",61756,810.8561
"12/18/2024 00:30:00","EST","MILLWD",61759,277.5693
"12/18/2024 00:30:00","EST","N.Y.C.",61761,4587.8945
"12/18/2024 00:30:00","EST","NORTH",61755,586.3705
"12/18/2024 00:30:00","EST","WEST",61752,1705.2554
"12/18/2024 00:35:00","EST","CAPITL",61757,1182.313
"12/18/2024 00:35:00","EST","CENTRL",61754,1631.7424
"12/18/2024 00:35:00","EST","DUNWOD",61760,549.0021
"12/18/2024 00:35:00","EST","GENESE",61753,976.6492
"12/18/2024 00:35:00","EST","HUD VL",61758,942.8146
"12/18/2024 00:35:00","EST","LONGIL",61762,1856.6495
"12/18/2024 00:35:00","EST","MHK VL",61756,805.5427
"12/18/2024 00:35:00","EST","MILLWD",61759,274.2536
"12/18/2024 00:35:00","EST","N.Y.C.",61761,4559.023
"12/18/2024 00:35:00","EST","NORTH",61755,594.4881
"12/18/2024 00:35:00","EST","WEST",61752,1711.0974
"12/18/2024 00:40:00","EST","CAPITL",61757,1156.8486
"12/18/2024 00:40:00","EST","CENTRL",61754,1641.2954
"12/18/2024 00:40:00","EST","DUNWOD",61760,562.2023
"12/18/2024 00:40:00","EST","GENESE",61753,979.3275
"12/18/2024 00:40:00","EST","HUD VL",61758,972.049
"12/18/2024 00:40:00","EST","LONGIL",61762,1825.562
"12/18/2024 00:40:00","EST","MHK VL",61756,793.8287
"12/18/2024 00:40:00","EST","MILLWD",61759,246.5034
"12/18/2024 00:40:00","EST","N.Y.C.",61761,4539.0596
"12/18/2024 00:40:00","EST","NORTH",61755,597.2642
"12/18/2024 00:40:00","EST","WEST",61752,1707.3419
"12/18/2024 00:45:00","EST","CAPITL",61757,1156.7316
"12/18/2024 00:45:00","EST","CENTRL",61754,1627.1687
"12/18/2024 00:45:00","EST","DUNWOD",61760,545.2561
"12/18/2024 00:45:00","EST","GENESE",61753,974.4568
"12/18/2024 00:45:00","EST","HUD VL",61758,941.8468
"12/18/2024 00:45:00","EST","LONGIL",61762,1826.8551
"12/18/2024 00:45:00","EST","MHK VL",61756,819.0261
"12/18/2024 00:45:00","EST","MILLWD",61759,269.7146
"12/18/2024 00:45:00","EST","N.Y.C.",61761,4539.4062
"12/18/2024 00:45:00","EST","NORTH",61755,588.5801
"12/18/2024 00:45:00","EST","WEST",61752,1729.4373
"12/18/2024 00:50:00","EST","CAPITL",61757,1145.1342
"12/18/2024 00:50:00","EST","CENTRL",61754,1583.585
"12/18/2024 00:50:00","EST","DUNWOD",61760,533.3248
"12/18/2024 00:50:00","EST","GENESE",61753,978.2581
"12/18/2024 00:50:00","EST","HUD VL",61758,944.6373
"12/18/2024 00:50:00","EST","LONGIL",61762,1826.8733
"12/18/2024 00:50:00","EST","MHK VL",61756,784.2064
"12/18/2024 00:50:00","EST","MILLWD",61759,268.7481
"12/18/2024 00:50:00","EST","N.Y.C.",61761,4530.4663
"12/18/2024 00:50:00","EST","NORTH",61755,626.2339
"12/18/2024 00:50:00","EST","WEST",61752,1718.4088
"12/18/2024 00:55:00","EST","CAPITL",61757,1153.0144
"12/18/2024 00:55:00","EST","CENTRL",61754,1623.9717
"12/18/2024 00:55:00","EST","DUNWOD",61760,539.3232
"12/18/2024 00:55:00","EST","GENESE",61753,972.5105
"12/18/2024 00:55:00","EST","HUD VL",61758,959.7889
"12/18/2024 00:55:00","EST","LONGIL",61762,1813.6173
"12/18/2024 00:55:00","EST","MHK VL",61756,793.8643
"12/18/2024 00:55:00","EST","MILLWD",61759,265.839
"12/18/2024 00:55:00","EST","N.Y.C.",61761,4522.141
"12/18/2024 00:55:00","EST","NORTH",61755,599.5136
"12/18/2024 00:55:00","EST","WEST",61752,1717.2485
"12/18/2024 01:00:00","EST","CAPITL",61757,1146.8037
"12/18/2024 01:00:00","EST","CENTRL",61754,1613.2112
"12/18/2024 01:00:00","EST","DUNWOD",61760,542.569
"12/18/2024 01:00:00","EST","GENESE",61753,973.579
"12/18/2024 01:00:00","EST","HUD VL",61758,920.7246
"12/18/2024 01:00:00","EST","LONGIL",61762,1799.1537
"12/18/2024 01:00:00","EST","MHK VL",61756,805.8677
"12/18/2024 01:00:00","EST","MILLWD",61759,268.8232
"12/18/2024 01:00:00","EST","N.Y.C.",61761,4511.1885
"12/18/2024 01:00:00","EST","NORTH",61755,600.9856
"12/18/2024 01:00:00","EST","WEST",61752,1716.3977
"12/18/2024 01:05:00","EST","CAPITL",61757,1146.9067
"12/18/2024 01:05:00","EST","CENTRL",61754,1613.331
"12/18/2024 01:05:00","EST","DUNWOD",61760,544.5065
"12/18/2024 01:05:00","EST","GENESE",61753,970.2345
"12/18/2024 01:05:00","EST","HUD VL",61758,932.1149
"12/18/2024 01:05:00","EST","LONGIL",61762,1800.4392
"12/18/2024 01:05:00","EST","MHK VL",61756,795.8246
"12/18/2024 01:05:00","EST","MILLWD",61759,248.1205
"12/18/2024 01:05:00","EST","N.Y.C.",61761,4475.288
"12/18/2024 01:05:00","EST","NORTH",61755,601.5507
"12/18/2024 01:05:00","EST","WEST",61752,1697.3215
"12/18/2024 01:10:00","EST","CAPITL",61757,1148.3988
"12/18/2024 01:10:00","EST","CENTRL",61754,1585.0396
"12/18/2024 01:10:00","EST","DUNWOD",61760,524.7647
