"Time Stamp","Time Zone","Name","PTID","Load"
"12/28/2024 00:00:00","EST","CAPITL",61757,1403.5068
"12/28/2024 00:00:00","EST","CENTRL",61754,1650.7668
"12/28/2024 00:00:00","EST","DUNWOD",61760,644.7544
"12/28/2024 00:00:00","EST","GENESE",61753,1027.0916
"12/28/2024 00:00:00","EST","HUD VL",61758,1141.8303
"12/28/2024 00:00:00","EST","LONGIL",61762,2163.1775
"12/28/2024 00:00:00","EST","MHK VL",61756,973.1195
"12/28/2024 00:00:00","EST","MILLWD",61759,326.4099
"12/28/2024 00:00:00","EST","N.Y.C.",61761,5062.093
"12/28/2024 00:00:00","EST","NORTH",61755,669.1877
"12/28/2024 00:00:00","EST","WEST",61752,1672.4668
"12/28/2024 00:05:00","EST","CAPITL",61757,1429.3661
"12/28/2024 00:05:00","EST","CENTRL",61754,1658.427
"12/28/2024 00:05:00","EST","DUNWOD",61760,616.8367
"12/28/2024 00:05:00","EST","GENESE",61753,1009.8513
"12/28/2024 00:05:00","EST","HUD VL",61758,1118.4795
"12/28/2024 00:05:00","EST","LONGIL",61762,2156.7063
"12/28/2024 00:05:00","EST","MHK VL",61756,982.4587
"12/28/2024 00:05:00","EST","MILLWD",61759,331.4959
"12/28/2024 00:05:00","EST","N.Y.C.",61761,5068.7427
"12/28/2024 00:05:00","EST","NORTH",61755,664.1663
"12/28/2024 00:05:00","EST","WEST",61752,1666.4204
"12/28/2024 00:10:00","EST","CAPITL",61757,1411.4369
"12/28/2024 00:10:00","EST","CENTRL",61754,1666.3167
"12/28/2024 00:10:00","EST","DUNWOD",61760,631.6888
"12/28/2024 00:10:00","EST","GENESE",61753,1017.5024
"12/28/2024 00:10:00","EST","HUD VL",61758,1130.6178
"12/28/2024 00:10:00","EST","LONGIL",61762,2135.2822
"12/28/2024 00:10:00","EST","MHK VL",61756,962.9344
"12/28/2024 00:10:00","EST","MILLWD",61759,327.0911
"12/28/2024 00:10:00","EST","N.Y.C.",61761,5077.876
"12/28/2024 00:10:00","EST","NORTH",61755,664.2609
"12/28/2024 00:10:00","EST","WEST",61752,1667.5222
"12/28/2024 00:15:00","EST","CAPITL",61757,1404.3822
"12/28/2024 00:15:00","EST","CENTRL",61754,1666.033
"12/28/2024 00:15:00","EST","DUNWOD",61760,632.1466
"12/28/2024 00:15:00","EST","GENESE",61753,1010.2936
"12/28/2024 00:15:00","EST","HUD VL",61758,1105.8804
"12/28/2024 00:15:00","EST","LONGIL",61762,2130.8977
"12/28/2024 00:15:00","EST","MHK VL",61756,957.2981
"12/28/2024 00:15:00","EST","MILLWD",61759,321.8444
"12/28/2024 00:15:00","EST","N.Y.C.",61761,5023.3096
"12/28/2024 00:15:00","EST","NORTH",61755,669.4246
"12/28/2024 00:15:00","EST","WEST",61752,1659.0057
"12/28/2024 00:20:00","EST","CAPITL",61757,1380.8418
"12/28/2024 00:20:00","EST","CENTRL",61754,1675.1184
"12/28/2024 00:20:00","EST","DUNWOD",61760,645.979
"12/28/2024 00:20:00","EST","GENESE",61753,1011.4999
"12/28/2024 00:20:00","EST","HUD VL",61758,1127.2681
"12/28/2024 00:20:00","EST","LONGIL",61762,2117.2615
"12/28/2024 00:20:00","EST","MHK VL",61756,963.6661
"12/28/2024 00:20:00","EST","MILLWD",61759,334.2751
"12/28/2024 00:20:00","EST","N.Y.C.",61761,5001.2236
"12/28/2024 00:20:00","EST","NORTH",61755,658.9011
"12/28/2024 00:20:00","EST","WEST",61752,1664.9116
"12/28/2024 00:25:00","EST","CAPITL",61757,1392.5693
"12/28/2024 00:25:00","EST","CENTRL",61754,1655.1135
"12/28/2024 00:25:00","EST","DUNWOD",61760,636.1567
"12/28/2024 00:25:00","EST","GENESE",61753,1011.0162
"12/28/2024 00:25:00","EST","HUD VL",61758,1129.1816
"12/28/2024 00:25:00","EST","LONGIL",61762,2101.1733
