"Time Stamp","Time Zone","Name","PTID","Load"
"12/10/2024 00:00:00","EST","CAPITL",61757,1298.975
"12/10/2024 00:00:00","EST","CENTRL",61754,1606.2217
"12/10/2024 00:00:00","EST","DUNWOD",61760,575.8314
"12/10/2024 00:00:00","EST","GENESE",61753,982.3807
"12/10/2024 00:00:00","EST","HUD VL",61758,994.6636
"12/10/2024 00:00:00","EST","LONGIL",61762,1850.873
"12/10/2024 00:00:00","EST","MHK VL",61756,827.6461
"12/10/2024 00:00:00","EST","MILLWD",61759,265.048
"12/10/2024 00:00:00","EST","N.Y.C.",61761,4736.2803
"12/10/2024 00:00:00","EST","NORTH",61755,600.9283
"12/10/2024 00:00:00","EST","WEST",61752,1646.9806
"12/10/2024 00:05:00","EST","CAPITL",61757,1300.2096
"12/10/2024 00:05:00","EST","CENTRL",61754,1608.3508
"12/10/2024 00:05:00","EST","DUNWOD",61760,563.2961
"12/10/2024 00:05:00","EST","GENESE",61753,971.5709
"12/10/2024 00:05:00","EST","HUD VL",61758,966.9028
"12/10/2024 00:05:00","EST","LONGIL",61762,1843.2292
"12/10/2024 00:05:00","EST","MHK VL",61756,824.1998
"12/10/2024 00:05:00","EST","MILLWD",61759,275.0132
"12/10/2024 00:05:00","EST","N.Y.C.",61761,4716.978
"12/10/2024 00:05:00","EST","NORTH",61755,609.5155
"12/10/2024 00:05:00","EST","WEST",61752,1657.8218
"12/10/2024 00:10:00","EST","CAPITL",61757,1315.9066
"12/10/2024 00:10:00","EST","CENTRL",61754,1596.8633
"12/10/2024 00:10:00","EST","DUNWOD",61760,573.8831
"12/10/2024 00:10:00","EST","GENESE",61753,969.7579
"12/10/2024 00:10:00","EST","HUD VL",61758,988.1306
"12/10/2024 00:10:00","EST","LONGIL",61762,1841.9675
"12/10/2024 00:10:00","EST","MHK VL",61756,814.7669
"12/10/2024 00:10:00","EST","MILLWD",61759,271.3898
"12/10/2024 00:10:00","EST","N.Y.C.",61761,4687.426
"12/10/2024 00:10:00","EST","NORTH",61755,610.5919
"12/10/2024 00:10:00","EST","WEST",61752,1652.2511
"12/10/2024 00:15:00","EST","CAPITL",61757,1300.0593
"12/10/2024 00:15:00","EST","CENTRL",61754,1598.5681
