"Time Stamp","Time Zone","Name","PTID","Load"
"12/21/2024 00:00:00","EST","CAPITL",61757,1431.1411
"12/21/2024 00:00:00","EST","CENTRL",61754,1796.3022
"12/21/2024 00:00:00","EST","DUNWOD",61760,654.3278
"12/21/2024 00:00:00","EST","GENESE",61753,1077.4824
"12/21/2024 00:00:00","EST","HUD VL",61758,1138.1304
"12/21/2024 00:00:00","EST","LONGIL",61762,2172.7026
"12/21/2024 00:00:00","EST","MHK VL",61756,960.8992
"12/21/2024 00:00:00","EST","MILLWD",61759,318.1559
"12/21/2024 00:00:00","EST","N.Y.C.",61761,5163.1787
"12/21/2024 00:00:00","EST","NORTH",61755,720.5897
"12/21/2024 00:00:00","EST","WEST",61752,1735.7976
"12/21/2024 00:05:00","EST","CAPITL",61757,1407.0289
"12/21/2024 00:05:00","EST","CENTRL",61754,1783.9626
"12/21/2024 00:05:00","EST","DUNWOD",61760,652.9099
"12/21/2024 00:05:00","EST","GENESE",61753,1080.837
"12/21/2024 00:05:00","EST","HUD VL",61758,1136.3082
"12/21/2024 00:05:00","EST","LONGIL",61762,2148.7634
"12/21/2024 00:05:00","EST","MHK VL",61756,956.9381
"12/21/2024 00:05:00","EST","MILLWD",61759,306.2178
"12/21/2024 00:05:00","EST","N.Y.C.",61761,5153.5957
"12/21/2024 00:05:00","EST","NORTH",61755,722.6314
"12/21/2024 00:05:00","EST","WEST",61752,1722.0261
"12/21/2024 00:10:00","EST","CAPITL",61757,1404.4529
"12/21/2024 00:10:00","EST","CENTRL",61754,1791.5859
"12/21/2024 00:10:00","EST","DUNWOD",61760,639.5581
"12/21/2024 00:10:00","EST","GENESE",61753,1067.1301
"12/21/2024 00:10:00","EST","HUD VL",61758,1154.5449
"12/21/2024 00:10:00","EST","LONGIL",61762,2150.7324
"12/21/2024 00:10:00","EST","MHK VL",61756,952.4517
"12/21/2024 00:10:00","EST","MILLWD",61759,330.0148
"12/21/2024 00:10:00","EST","N.Y.C.",61761,5158.2686
"12/21/2024 00:10:00","EST","NORTH",61755,729.4133
"12/21/2024 00:10:00","EST","WEST",61752,1726.8739
"12/21/2024 00:15:00","EST","CAPITL",61757,1394.8792
"12/21/2024 00:15:00","EST","CENTRL",61754,1792.561
"12/21/2024 00:15:00","EST","DUNWOD",61760,657.1854
"12/21/2024 00:15:00","EST","GENESE",61753,1078.2946
"12/21/2024 00:15:00","EST","HUD VL",61758,1130.3118
"12/21/2024 00:15:00","EST","LONGIL",61762,2148.1326
"12/21/2024 00:15:00","EST","MHK VL",61756,954.3759
"12/21/2024 00:15:00","EST","MILLWD",61759,323.3835
"12/21/2024 00:15:00","EST","N.Y.C.",61761,5111.328
"12/21/2024 00:15:00","EST","NORTH",61755,721.557
"12/21/2024 00:15:00","EST","WEST",61752,1698.0647
"12/21/2024 00:20:00","EST","CAPITL",61757,1402.3713
"12/21/2024 00:20:00","EST","CENTRL",61754,1788.3638
"12/21/2024 00:20:00","EST","DUNWOD",61760,651.6382
"12/21/2024 00:20:00","EST","GENESE",61753,1075.3652
"12/21/2024 00:20:00","EST","HUD VL",61758,1118.1816
"12/21/2024 00:20:00","EST","LONGIL",61762,2154.8018
"12/21/2024 00:20:00","EST","MHK VL",61756,957.4231
"12/21/2024 00:20:00","EST","MILLWD",61759,324.9234
"12/21/2024 00:20:00","EST","N.Y.C.",61761,5073.1724
"12/21/2024 00:20:00","EST","NORTH",61755,724.7093
"12/21/2024 00:20:00","EST","WEST",61752,1713.8248
"12/21/2024 00:25:00","EST","CAPITL",61757,1399.5365
"12/21/2024 00:25:00","EST","CENTRL",61754,1786.6531
"12/21/2024 00:25:00","EST","DUNWOD",61760,640.2798
"12/21/2024 00:25:00","EST","GENESE",61753,1073.5878
"12/21/2024 00:25:00","EST","HUD VL",61758,1119.8724
"12/21/2024 00:25:00","EST","LONGIL",61762,2135.1272
"12/21/2024 00:25:00","EST","MHK VL",61756,948.5947
"12/21/2024 00:25:00","EST","MILLWD",61759,328.9849
"12/21/2024 00:25:00","EST","N.Y.C.",61761,5060.039
"12/21/2024 00:25:00","EST","NORTH",61755,728.6727
"12/21/2024 00:25:00","EST","WEST",61752,1692.7378
"12/21/2024 00:30:00","EST","CAPITL",61757,1412.1558
"12/21/2024 00:30:00","EST","CENTRL",61754,1761.031
"12/21/2024 00:30:00","EST","DUNWOD",61760,650.0656
"12/21/2024 00:30:00","EST","GENESE",61753,1068.2893
"12/21/2024 00:30:00","EST","HUD VL",61758,1088.6622
"12/21/2024 00:30:00","EST","LONGIL",61762,2130.8157
"12/21/2024 00:30:00","EST","MHK VL",61756,964.5465
"12/21/2024 00:30:00","EST","MILLWD",61759,319.3123
"12/21/2024 00:30:00","EST","N.Y.C.",61761,5050.947
"12/21/2024 00:30:00","EST","NORTH",61755,715.8289
"12/21/2024 00:30:00","EST","WEST",61752,1702.4032
"12/21/2024 00:35:00","EST","CAPITL",61757,1384.0472
"12/21/2024 00:35:00","EST","CENTRL",61754,1771.6038
"12/21/2024 00:35:00","EST","DUNWOD",61760,639.4551
"12/21/2024 00:35:00","EST","GENESE",61753,1060.1362
"12/21/2024 00:35:00","EST","HUD VL",61758,1117.5485
"12/21/2024 00:35:00","EST","LONGIL",61762,2114.534
"12/21/2024 00:35:00","EST","MHK VL",61756,952.3958
"12/21/2024 00:35:00","EST","MILLWD",61759,319.6841
"12/21/2024 00:35:00","EST","N.Y.C.",61761,5039.611
"12/21/2024 00:35:00","EST","NORTH",61755,718.295
"12/21/2024 00:35:00","EST","WEST",61752,1716.3362
"12/21/2024 00:40:00","EST","CAPITL",61757,1387.1627
"12/21/2024 00:40:00","EST","CENTRL",61754,1779.0603
"12/21/2024 00:40:00","EST","DUNWOD",61760,636.3378
"12/21/2024 00:40:00","EST","GENESE",61753,1060.8049
"12/21/2024 00:40:00","EST","HUD VL",61758,1136.9023
"12/21/2024 00:40:00","EST","LONGIL",61762,2099.7563
"12/21/2024 00:40:00","EST","MHK VL",61756,945.4456
"12/21/2024 00:40:00","EST","MILLWD",61759,301.1515
"12/21/2024 00:40:00","EST","N.Y.C.",61761,5033.105
"12/21/2024 00:40:00","EST","NORTH",61755,724.1858
"12/21/2024 00:40:00","EST","WEST",61752,1696.3713
"12/21/2024 00:45:00","EST","CAPITL",61757,1367.1512
"12/21/2024 00:45:00","EST","CENTRL",61754,1766.1414
"12/21/2024 00:45:00","EST","DUNWOD",61760,642.9342
"12/21/2024 00:45:00","EST","GENESE",61753,1060.1718
"12/21/2024 00:45:00","EST","HUD VL",61758,1114.752
"12/21/2024 00:45:00","EST","LONGIL",61762,2083.6973
"12/21/2024 00:45:00","EST","MHK VL",61756,942.4801
"12/21/2024 00:45:00","EST","MILLWD",61759,292.4573
"12/21/2024 00:45:00","EST","N.Y.C.",61761,5001.3
"12/21/2024 00:45:00","EST","NORTH",61755,727.7561
"12/21/2024 00:45:00","EST","WEST",61752,1686.791
"12/21/2024 00:50:00","EST","CAPITL",61757,1385.5894
"12/21/2024 00:50:00","EST","CENTRL",61754,1760.1116
"12/21/2024 00:50:00","EST","DUNWOD",61760,623.4332
"12/21/2024 00:50:00","EST","GENESE",61753,1058.614
"12/21/2024 00:50:00","EST","HUD VL",61758,1110.5155
"12/21/2024 00:50:00","EST","LONGIL",61762,2067.4468
"12/21/2024 00:50:00","EST","MHK VL",61756,935.9738
"12/21/2024 00:50:00","EST","MILLWD",61759,318.5897
"12/21/2024 00:50:00","EST","N.Y.C.",61761,5040.7915
"12/21/2024 00:50:00","EST","NORTH",61755,716.4949
"12/21/2024 00:50:00","EST","WEST",61752,1662.491
"12/21/2024 00:55:00","EST","CAPITL",61757,1363.6677
"12/21/2024 00:55:00","EST","CENTRL",61754,1761.9915
"12/21/2024 00:55:00","EST","DUNWOD",61760,635.0085
"12/21/2024 00:55:00","EST","GENESE",61753,1058.4888
"12/21/2024 00:55:00","EST","HUD VL",61758,1081.1052
"12/21/2024 00:55:00","EST","LONGIL",61762,2062.276
"12/21/2024 00:55:00","EST","MHK VL",61756,957.4443
"12/21/2024 00:55:00","EST","MILLWD",61759,305.9209
"12/21/2024 00:55:00","EST","N.Y.C.",61761,4981.7007
"12/21/2024 00:55:00","EST","NORTH",61755,707.9016
"12/21/2024 00:55:00","EST","WEST",61752,1699.9232
"12/21/2024 01:00:00","EST","CAPITL",61757,1367.0697
"12/21/2024 01:00:00","EST","CENTRL",61754,1761.5654
"12/21/2024 01:00:00","EST","DUNWOD",61760,623.6462
"12/21/2024 01:00:00","EST","GENESE",61753,1058.2183
"12/21/2024 01:00:00","EST","HUD VL",61758,1118.8511
"12/21/2024 01:00:00","EST","LONGIL",61762,2047.1998
"12/21/2024 01:00:00","EST","MHK VL",61756,935.7365
"12/21/2024 01:00:00","EST","MILLWD",61759,310.5101
"12/21/2024 01:00:00","EST","N.Y.C.",61761,4971.607
"12/21/2024 01:00:00","EST","NORTH",61755,712.4805
"12/21/2024 01:00:00","EST","WEST",61752,1661.7991
"12/21/2024 01:05:00","EST","CAPITL",61757,1356.872
"12/21/2024 01:05:00","EST","CENTRL",61754,1742.4607
"12/21/2024 01:05:00","EST","DUNWOD",61760,621.2449
"12/21/2024 01:05:00","EST","GENESE",61753,1058.2787
"12/21/2024 01:05:00","EST","HUD VL",61758,1084.1233
"12/21/2024 01:05:00","EST","LONGIL",61762,2045.2983
"12/21/2024 01:05:00","EST","MHK VL",61756,924.801
"12/21/2024 01:05:00","EST","MILLWD",61759,307.3355
"12/21/2024 01:05:00","EST","N.Y.C.",61761,4954.0903
"12/21/2024 01:05:00","EST","NORTH",61755,723.4195
"12/21/2024 01:05:00","EST","WEST",61752,1702.8828
"12/21/2024 01:10:00","EST","CAPITL",61757,1352.5123
"12/21/2024 01:10:00","EST","CENTRL",61754,1737.1086
"12/21/2024 01:10:00","EST","DUNWOD",61760,631.3712
"12/21/2024 01:10:00","EST","GENESE",61753,1050.0688
"12/21/2024 01:10:00","EST","HUD VL",61758,1093.1874
"12/21/2024 01:10:00","EST","LONGIL",61762,2038.6292
"12/21/2024 01:10:00","EST","MHK VL",61756,946.6998
"12/21/2024 01:10:00","EST","MILLWD",61759,304.2223
"12/21/2024 01:10:00","EST","N.Y.C.",61761,4928.2383
"12/21/2024 01:10:00","EST","NORTH",61755,710.4656
"12/21/2024 01:10:00","EST","WEST",61752,1697.5577
"12/21/2024 01:15:00","EST","CAPITL",61757,1346.9331
"12/21/2024 01:15:00","EST","CENTRL",61754,1746.0273
"12/21/2024 01:15:00","EST","DUNWOD",61760,621.8143
"12/21/2024 01:15:00","EST","GENESE",61753,1057.7948
"12/21/2024 01:15:00","EST","HUD VL",61758,1099.1123
"12/21/2024 01:15:00","EST","LONGIL",61762,2025.0543
"12/21/2024 01:15:00","EST","MHK VL",61756,937.6662
"12/21/2024 01:15:00","EST","MILLWD",61759,299.312
"12/21/2024 01:15:00","EST","N.Y.C.",61761,4911.0054
"12/21/2024 01:15:00","EST","NORTH",61755,706.4925
"12/21/2024 01:15:00","EST","WEST",61752,1666.0513
"12/21/2024 01:20:00","EST","CAPITL",61757,1361.1903
"12/21/2024 01:20:00","EST","CENTRL",61754,1747.9255
"12/21/2024 01:20:00","EST","DUNWOD",61760,620.4305
"12/21/2024 01:20:00","EST","GENESE",61753,1049.7112
"12/21/2024 01:20:00","EST","HUD VL",61758,1082.9648
"12/21/2024 01:20:00","EST","LONGIL",61762,2016.7625
"12/21/2024 01:20:00","EST","MHK VL",61756,936.7578
"12/21/2024 01:20:00","EST","MILLWD",61759,309.7636
"12/21/2024 01:20:00","EST","N.Y.C.",61761,4909.1826
"12/21/2024 01:20:00","EST","NORTH",61755,704.4689
"12/21/2024 01:20:00","EST","WEST",61752,1664.1558
"12/21/2024 01:25:00","EST","CAPITL",61757,1354.9717
"12/21/2024 01:25:00","EST","CENTRL",61754,1748.4475
"12/21/2024 01:25:00","EST","DUNWOD",61760,606.0792
"12/21/2024 01:25:00","EST","GENESE",61753,1048.1509
"12/21/2024 01:25:00","EST","HUD VL",61758,1068.1951
"12/21/2024 01:25:00","EST","LONGIL",61762,2013.552
"12/21/2024 01:25:00","EST","MHK VL",61756,913.3998
"12/21/2024 01:25:00","EST","MILLWD",61759,315.3293
"12/21/2024 01:25:00","EST","N.Y.C.",61761,4899.9834
"12/21/2024 01:25:00","EST","NORTH",61755,718.8475
"12/21/2024 01:25:00","EST","WEST",61752,1673.7942
"12/21/2024 01:30:00","EST","CAPITL",61757,1344.7612
"12/21/2024 01:30:00","EST","CENTRL",61754,1736.9751
"12/21/2024 01:30:00","EST","DUNWOD",61760,612.2792
"12/21/2024 01:30:00","EST","GENESE",61753,1048.0349
"12/21/2024 01:30:00","EST","HUD VL",61758,1102.9379
"12/21/2024 01:30:00","EST","LONGIL",61762,2000.5652
"12/21/2024 01:30:00","EST","MHK VL",61756,914.2839
"12/21/2024 01:30:00","EST","MILLWD",61759,306.7983
"12/21/2024 01:30:00","EST","N.Y.C.",61761,4872.537
"12/21/2024 01:30:00","EST","NORTH",61755,714.1899
"12/21/2024 01:30:00","EST","WEST",61752,1644.9808
"12/21/2024 01:35:00","EST","CAPITL",61757,1340.7517
"12/21/2024 01:35:00","EST","CENTRL",61754,1738.9795
"12/21/2024 01:35:00","EST","DUNWOD",61760,608.0974
"12/21/2024 01:35:00","EST","GENESE",61753,1045.5593
"12/21/2024 01:35:00","EST","HUD VL",61758,1069.1848
"12/21/2024 01:35:00","EST","LONGIL",61762,2010.3652
"12/21/2024 01:35:00","EST","MHK VL",61756,923.4473
"12/21/2024 01:35:00","EST","MILLWD",61759,313.2298
"12/21/2024 01:35:00","EST","N.Y.C.",61761,4845.2056
"12/21/2024 01:35:00","EST","NORTH",61755,708.4354
"12/21/2024 01:35:00","EST","WEST",61752,1656.1052
