"Time Stamp","Time Zone","Name","PTID","Load"
"12/02/2024 00:00:00","EST","CAPITL",61757,1298.8164
"12/02/2024 00:00:00","EST","CENTRL",61754,1689.7986
"12/02/2024 00:00:00","EST","DUNWOD",61760,614.6503
"12/02/2024 00:00:00","EST","GENESE",61753,1027.218
"12/02/2024 00:00:00","EST","HUD VL",61758,1084.8694
"12/02/2024 00:00:00","EST","LONGIL",61762,2080.506
"12/02/2024 00:00:00","EST","MHK VL",61756,876.1813
"12/02/2024 00:00:00","EST","MILLWD",61759,326.8048
"12/02/2024 00:00:00","EST","N.Y.C.",61761,5002.852
"12/02/2024 00:00:00","EST","NORTH",61755,690.247
"12/02/2024 00:00:00","EST","WEST",61752,1655.0891
"12/02/2024 00:05:00","EST","CAPITL",61757,1301.002
"12/02/2024 00:05:00","EST","CENTRL",61754,1707.6343
"12/02/2024 00:05:00","EST","DUNWOD",61760,595.426
"12/02/2024 00:05:00","EST","GENESE",61753,1031.168
"12/02/2024 00:05:00","EST","HUD VL",61758,1082.3909
"12/02/2024 00:05:00","EST","LONGIL",61762,2072.0295
"12/02/2024 00:05:00","EST","MHK VL",61756,874.4857
"12/02/2024 00:05:00","EST","MILLWD",61759,322.8165
"12/02/2024 00:05:00","EST","N.Y.C.",61761,4993.4937
"12/02/2024 00:05:00","EST","NORTH",61755,694.9794
"12/02/2024 00:05:00","EST","WEST",61752,1634.2585
"12/02/2024 00:10:00","EST","CAPITL",61757,1305.0786
"12/02/2024 00:10:00","EST","CENTRL",61754,1733.5876
"12/02/2024 00:10:00","EST","DUNWOD",61760,599.3912
"12/02/2024 00:10:00","EST","GENESE",61753,1020.1434
"12/02/2024 00:10:00","EST","HUD VL",61758,1089.3901
"12/02/2024 00:10:00","EST","LONGIL",61762,2061.2512
"12/02/2024 00:10:00","EST","MHK VL",61756,872.6967
"12/02/2024 00:10:00","EST","MILLWD",61759,342.7035
"12/02/2024 00:10:00","EST","N.Y.C.",61761,4986.581
"12/02/2024 00:10:00","EST","NORTH",61755,686.296
"12/02/2024 00:10:00","EST","WEST",61752,1642.6866
"12/02/2024 00:15:00","EST","CAPITL",61757,1311.417
"12/02/2024 00:15:00","EST","CENTRL",61754,1741.8428
"12/02/2024 00:15:00","EST","DUNWOD",61760,607.6216
"12/02/2024 00:15:00","EST","GENESE",61753,1011.2795
"12/02/2024 00:15:00","EST","HUD VL",61758,1100.8348
"12/02/2024 00:15:00","EST","LONGIL",61762,2046.699
"12/02/2024 00:15:00","EST","MHK VL",61756,871.8661
"12/02/2024 00:15:00","EST","MILLWD",61759,328.946
