hour_index,L1_t,S1_t,L2_t,S2_t,L3_t,S3_t,L4_t,S4_t,L5_t,S5_t,L6_t,S6_t,L7_t,S7_t,L8_t,S8_t,L9_t,S9_t,L10_t,S10_t,L11_t,S11_t,L12_t,S12_t,L13_t,S13_t,L14_t,S14_t,L15_t,S15_t,L16_t,S16_t,L17_t,S17_t,L18_t,S18_t,L19_t,S19_t,L20_t,S20_t,L21_t,S21_t,L22_t,S22_t,L23_t,S23_t,L24_t,S24_t,L25_t,S25_t,L26_t,S26_t,L27_t,S27_t,L28_t,S28_t,L29_t,S29_t,L30_t,S30_t,L31_t,S31_t,L32_t,S32_t,L33_t,S33_t,L34_t,S34_t,L35_t,S35_t,L36_t,S36_t,L37_t,S37_t,L38_t,S38_t,L39_t,S39_t,G1_t,G2_t,G3_t,G4_t,G5_t,G6_t,G7_t,G8_t,G9_t,G10_t,L1_t+1_pre,S1_t+1_pre,L2_t+1_pre,S2_t+1_pre,L3_t+1_pre,S3_t+1_pre,L4_t+1_pre,S4_t+1_pre,L5_t+1_pre,S5_t+1_pre,L6_t+1_pre,S6_t+1_pre,L7_t+1_pre,S7_t+1_pre,L8_t+1_pre,S8_t+1_pre,L9_t+1_pre,S9_t+1_pre,L10_t+1_pre,S10_t+1_pre,L11_t+1_pre,S11_t+1_pre,L12_t+1_pre,S12_t+1_pre,L13_t+1_pre,S13_t+1_pre,L14_t+1_pre,S14_t+1_pre,L15_t+1_pre,S15_t+1_pre,L16_t+1_pre,S16_t+1_pre,L17_t+1_pre,S17_t+1_pre,L18_t+1_pre,S18_t+1_pre,L19_t+1_pre,S19_t+1_pre,L20_t+1_pre,S20_t+1_pre,L21_t+1_pre,S21_t+1_pre,L22_t+1_pre,S22_t+1_pre,L23_t+1_pre,S23_t+1_pre,L24_t+1_pre,S24_t+1_pre,L25_t+1_pre,S25_t+1_pre,L26_t+1_pre,S26_t+1_pre,L27_t+1_pre,S27_t+1_pre,L28_t+1_pre,S28_t+1_pre,L29_t+1_pre,S29_t+1_pre,L30_t+1_pre,S30_t+1_pre,L31_t+1_pre,S31_t+1_pre,L32_t+1_pre,S32_t+1_pre,L33_t+1_pre,S33_t+1_pre,L34_t+1_pre,S34_t+1_pre,L35_t+1_pre,S35_t+1_pre,L36_t+1_pre,S36_t+1_pre,L37_t+1_pre,S37_t+1_pre,L38_t+1_pre,S38_t+1_pre,L39_t+1_pre,S39_t+1_pre,G1_t+1_res,G2_t+1_res,G3_t+1_res,G4_t+1_res,G5_t+1_res,G6_t+1_res,G7_t+1_res,G8_t+1_res,G9_t+1_res,G10_t+1_res
157,190.87,470.18,1.0,451.0,248.86,451.0,87.22,451.0,1.0,451.0,1.0,451.0,146.63,451.0,143.51,455.29,277.38,461.02,1.0,451.0,1.0,451.0,126.62,463.02,1.0,451.0,1.0,451.0,43.64,469.32,684.81,470.93,1.0,451.0,92.27,466.81,1.0,451.0,234.94,451.0,100.11,451.0,1.0,451.0,73.54,463.39,557.26,457.17,688.39,472.19,357.32,471.42,443.76,454.79,117.45,451.0,233.65,463.72,1.0,451.0,496.61,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,207.11,476.41,571.57,575.36,572.22,421.45,419.54,567.69,564.2,564.0,579.21,572.41,187.47,451.0,1.0,451.0,241.06,451.0,82.16,451.0,1.0,451.0,1.0,451.0,146.14,470.22,129.08,451.0,263.74,451.0,1.0,451.0,1.0,451.0,123.93,456.4,1.0,451.0,1.0,451.0,44.34,451.0,695.22,455.31,1.0,451.0,92.55,451.0,1.0,451.0,240.74,459.38,98.44,457.54,1.0,451.0,72.5,454.57,545.47,451.0,697.13,455.68,357.97,471.48,444.85,451.0,116.51,462.79,235.38,473.1,1.0,451.0,494.7,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,206.86,451.0,580.77,584.17,581.06,420.2,418.29,576.78,573.2,564.0,587.68,581.89
158,187.47,451.0,1.0,451.0,241.06,451.0,82.16,451.0,1.0,451.0,1.0,451.0,146.14,470.22,129.08,451.0,263.74,451.0,1.0,451.0,1.0,451.0,123.93,456.4,1.0,451.0,1.0,451.0,44.34,451.0,695.22,455.31,1.0,451.0,92.55,451.0,1.0,451.0,240.74,459.38,98.44,457.54,1.0,451.0,72.5,454.57,545.47,451.0,697.13,455.68,357.97,471.48,444.85,451.0,116.51,462.79,235.38,473.1,1.0,451.0,494.7,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,206.86,451.0,580.77,584.17,581.06,420.2,418.29,576.78,573.2,564.0,587.68,581.89,184.3,454.02,1.0,451.0,243.25,472.15,82.97,451.0,1.0,451.0,1.0,451.0,146.07,451.0,121.88,451.0,242.8,463.32,1.0,451.0,1.0,451.0,119.6,464.06,1.0,451.0,1.0,451.0,40.55,451.0,697.98,465.24,1.0,451.0,92.08,458.28,1.0,451.0,242.41,461.07,98.02,466.3,1.0,451.0,72.53,451.48,543.01,451.0,688.15,451.0,348.14,451.0,430.11,451.0,114.06,451.0,231.38,451.0,1.0,451.0,493.13,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,201.84,462.34,568.27,571.68,568.67,420.14,418.23,564.98,561.58,564.0,577.57,568.71
159,184.3,454.02,1.0,451.0,243.25,472.15,82.97,451.0,1.0,451.0,1.0,451.0,146.07,451.0,121.88,451.0,242.8,463.32,1.0,451.0,1.0,451.0,119.6,464.06,1.0,451.0,1.0,451.0,40.55,451.0,697.98,465.24,1.0,451.0,92.08,458.28,1.0,451.0,242.41,461.07,98.02,466.3,1.0,451.0,72.53,451.48,543.01,451.0,688.15,451.0,348.14,451.0,430.11,451.0,114.06,451.0,231.38,451.0,1.0,451.0,493.13,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,201.84,462.34,568.27,571.68,568.67,420.14,418.23,564.98,561.58,564.0,577.57,568.71,183.01,455.63,1.0,451.0,241.25,470.32,80.66,459.81,1.0,451.0,1.0,451.0,148.19,459.31,121.01,452.85,241.49,454.81,1.0,451.0,1.0,451.0,118.97,451.0,1.0,451.0,1.0,451.0,43.41,451.0,702.54,451.0,1.0,451.0,90.89,451.68,1.0,451.0,243.64,456.71,98.28,451.0,1.0,451.0,71.48,451.0,537.14,458.67,683.12,451.0,348.83,451.0,430.54,451.0,115.24,451.0,235.0,463.46,1.0,451.0,503.74,455.6,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,200.45,451.0,572.48,575.97,572.97,422.96,421.05,569.29,565.81,564.0,581.09,573.13
160,183.01,455.63,1.0,451.0,241.25,470.32,80.66,459.81,1.0,451.0,1.0,451.0,148.19,459.31,121.01,452.85,241.49,454.81,1.0,451.0,1.0,451.0,118.97,451.0,1.0,451.0,1.0,451.0,43.41,451.0,702.54,451.0,1.0,451.0,90.89,451.68,1.0,451.0,243.64,456.71,98.28,451.0,1.0,451.0,71.48,451.0,537.14,458.67,683.12,451.0,348.83,451.0,430.54,451.0,115.24,451.0,235.0,463.46,1.0,451.0,503.74,455.6,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,200.45,451.0,572.48,575.97,572.97,422.96,421.05,569.29,565.81,564.0,581.09,573.13,186.59,469.62,1.0,451.0,240.45,470.54,86.41,468.47,1.0,451.0,1.0,451.0,154.52,462.71,121.41,453.85,238.62,459.38,1.0,451.0,1.0,451.0,115.79,451.0,1.0,451.0,1.0,451.0,40.53,451.0,698.77,470.46,1.0,451.0,86.68,472.6,1.0,451.0,238.64,451.0,95.88,457.35,1.0,451.0,71.73,460.45,542.99,459.04,677.85,451.0,352.38,471.92,435.06,451.0,116.19,451.0,231.76,458.98,1.0,451.0,487.39,462.83,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,202.19,469.68,551.8,555.11,552.33,423.29,421.39,548.91,545.67,564.0,560.8,552.19
161,186.59,469.62,1.0,451.0,240.45,470.54,86.41,468.47,1.0,451.0,1.0,451.0,154.52,462.71,121.41,453.85,238.62,459.38,1.0,451.0,1.0,451.0,115.79,451.0,1.0,451.0,1.0,451.0,40.53,451.0,698.77,470.46,1.0,451.0,86.68,472.6,1.0,451.0,238.64,451.0,95.88,457.35,1.0,451.0,71.73,460.45,542.99,459.04,677.85,451.0,352.38,471.92,435.06,451.0,116.19,451.0,231.76,458.98,1.0,451.0,487.39,462.83,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,202.19,469.68,551.8,555.11,552.33,423.29,421.39,548.91,545.67,564.0,560.8,552.19,187.32,451.0,1.0,451.0,241.23,451.0,82.07,468.49,1.0,451.0,1.0,451.0,152.94,455.54,132.8,473.17,250.14,451.0,1.0,451.0,1.0,451.0,123.1,454.87,1.0,451.0,1.0,451.0,40.58,451.0,702.61,451.0,1.0,451.0,89.71,451.0,1.0,451.0,243.66,451.0,96.36,451.0,1.0,451.0,72.58,451.0,555.33,461.93,688.13,473.24,355.15,472.27,446.67,466.58,116.13,451.0,237.41,451.0,1.0,451.0,490.82,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,204.46,462.01,574.39,577.74,574.74,425.87,423.97,571.09,567.6,564.0,582.87,575.11
162,187.32,451.0,1.0,451.0,241.23,451.0,82.07,468.49,1.0,451.0,1.0,451.0,152.94,455.54,132.8,473.17,250.14,451.0,1.0,451.0,1.0,451.0,123.1,454.87,1.0,451.0,1.0,451.0,40.58,451.0,702.61,451.0,1.0,451.0,89.71,451.0,1.0,451.0,243.66,451.0,96.36,451.0,1.0,451.0,72.58,451.0,555.33,461.93,688.13,473.24,355.15,472.27,446.67,466.58,116.13,451.0,237.41,451.0,1.0,451.0,490.82,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,204.46,462.01,574.39,577.74,574.74,425.87,423.97,571.09,567.6,564.0,582.87,575.11,190.49,451.0,1.0,451.0,244.95,471.66,86.02,464.98,1.0,451.0,1.0,451.0,151.22,451.0,135.81,461.96,267.37,451.0,1.0,451.0,1.0,451.0,126.42,451.0,1.0,451.0,1.0,451.0,41.14,451.0,706.64,451.0,1.0,451.0,91.95,460.18,1.0,451.0,246.55,451.0,99.94,451.0,1.0,451.0,74.7,463.52,546.53,452.78,687.76,457.05,362.39,452.67,448.07,471.35,118.34,451.0,243.26,468.83,1.0,451.0,503.02,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,210.9,451.0,586.94,590.7,587.49,427.33,425.43,582.93,578.82,564.0,595.17,588.31
163,190.49,451.0,1.0,451.0,244.95,471.66,86.02,464.98,1.0,451.0,1.0,451.0,151.22,451.0,135.81,461.96,267.37,451.0,1.0,451.0,1.0,451.0,126.42,451.0,1.0,451.0,1.0,451.0,41.14,451.0,706.64,451.0,1.0,451.0,91.95,460.18,1.0,451.0,246.55,451.0,99.94,451.0,1.0,451.0,74.7,463.52,546.53,452.78,687.76,457.05,362.39,452.67,448.07,471.35,118.34,451.0,243.26,468.83,1.0,451.0,503.02,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,210.9,451.0,586.94,590.7,587.49,427.33,425.43,582.93,578.82,564.0,595.17,588.31,197.28,458.49,1.0,451.0,248.05,451.0,89.72,459.08,1.0,451.0,1.0,451.0,153.31,462.48,154.6,470.74,287.53,451.0,1.0,451.0,1.0,451.0,130.05,452.32,1.0,451.0,1.0,451.0,41.95,451.0,722.47,468.72,1.0,451.0,92.7,451.0,1.0,451.0,243.51,451.0,102.3,468.69,1.0,451.0,76.39,457.99,580.58,451.0,715.18,464.06,365.04,461.08,461.49,457.19,121.75,465.95,246.8,451.0,1.0,451.0,523.76,458.91,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,216.12,453.45,613.74,617.61,614.18,425.79,423.88,609.67,580.0,564.0,622.52,614.93
164,197.28,458.49,1.0,451.0,248.05,451.0,89.72,459.08,1.0,451.0,1.0,451.0,153.31,462.48,154.6,470.74,287.53,451.0,1.0,451.0,1.0,451.0,130.05,452.32,1.0,451.0,1.0,451.0,41.95,451.0,722.47,468.72,1.0,451.0,92.7,451.0,1.0,451.0,243.51,451.0,102.3,468.69,1.0,451.0,76.39,457.99,580.58,451.0,715.18,464.06,365.04,461.08,461.49,457.19,121.75,465.95,246.8,451.0,1.0,451.0,523.76,458.91,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,216.12,453.45,613.74,617.61,614.18,425.79,423.88,609.67,580.0,564.0,622.52,614.93,210.06,451.0,1.0,451.0,249.06,451.0,96.22,452.03,1.0,451.0,1.0,451.0,161.08,451.0,162.35,465.96,321.16,451.0,1.0,451.0,1.0,451.0,138.56,451.0,1.0,451.0,1.0,451.0,48.02,471.9,745.99,451.0,1.0,451.0,93.78,470.0,1.0,451.0,251.26,454.74,107.06,469.52,1.0,451.0,80.07,463.63,608.66,451.0,761.83,458.57,387.47,454.68,493.54,451.0,128.08,451.0,258.85,451.0,1.0,451.0,539.27,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,222.92,460.82,673.61,646.0,674.36,427.82,425.9,669.62,580.0,564.0,685.19,674.78
165,210.06,451.0,1.0,451.0,249.06,451.0,96.22,452.03,1.0,451.0,1.0,451.0,161.08,451.0,162.35,465.96,321.16,451.0,1.0,451.0,1.0,451.0,138.56,451.0,1.0,451.0,1.0,451.0,48.02,471.9,745.99,451.0,1.0,451.0,93.78,470.0,1.0,451.0,251.26,454.74,107.06,469.52,1.0,451.0,80.07,463.63,608.66,451.0,761.83,458.57,387.47,454.68,493.54,451.0,128.08,451.0,258.85,451.0,1.0,451.0,539.27,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,222.92,460.82,673.61,646.0,674.36,427.82,425.9,669.62,580.0,564.0,685.19,674.78,209.99,451.0,1.0,451.0,252.76,467.68,96.11,469.89,1.0,451.0,1.0,451.0,161.63,451.0,166.31,457.31,325.2,472.8,1.0,451.0,1.0,451.0,139.48,467.52,1.0,451.0,1.0,451.0,50.79,460.14,748.05,466.78,1.0,451.0,93.45,468.52,1.0,451.0,255.55,468.85,106.6,451.0,1.0,451.0,81.21,451.0,601.25,458.36,766.47,451.0,389.35,451.0,499.04,463.03,127.51,451.0,258.92,451.0,1.0,451.0,550.73,458.14,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,228.77,451.0,673.08,646.0,673.68,422.9,420.98,669.66,580.0,564.0,685.23,674.31
166,209.99,451.0,1.0,451.0,252.76,467.68,96.11,469.89,1.0,451.0,1.0,451.0,161.63,451.0,166.31,457.31,325.2,472.8,1.0,451.0,1.0,451.0,139.48,467.52,1.0,451.0,1.0,451.0,50.79,460.14,748.05,466.78,1.0,451.0,93.45,468.52,1.0,451.0,255.55,468.85,106.6,451.0,1.0,451.0,81.21,451.0,601.25,458.36,766.47,451.0,389.35,451.0,499.04,463.03,127.51,451.0,258.92,451.0,1.0,451.0,550.73,458.14,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,228.77,451.0,673.08,646.0,673.68,422.9,420.98,669.66,580.0,564.0,685.23,674.31,207.3,469.44,1.0,451.0,251.12,460.49,95.42,459.01,1.0,451.0,1.0,451.0,160.58,451.66,163.54,451.06,321.63,454.35,1.0,451.0,1.0,451.0,138.7,451.0,1.0,451.0,1.0,451.0,50.38,451.0,740.6,451.0,1.0,451.0,93.6,451.0,1.0,451.0,252.38,454.64,107.88,451.0,1.0,451.0,81.04,451.0,616.53,451.0,765.89,471.09,388.75,451.0,490.44,451.0,128.43,458.04,262.67,451.0,1.0,451.0,549.2,454.57,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,222.0,451.0,685.17,646.0,686.35,428.43,426.51,682.27,580.0,564.0,696.49,686.1
167,207.3,469.44,1.0,451.0,251.12,460.49,95.42,459.01,1.0,451.0,1.0,451.0,160.58,451.66,163.54,451.06,321.63,454.35,1.0,451.0,1.0,451.0,138.7,451.0,1.0,451.0,1.0,451.0,50.38,451.0,740.6,451.0,1.0,451.0,93.6,451.0,1.0,451.0,252.38,454.64,107.88,451.0,1.0,451.0,81.04,451.0,616.53,451.0,765.89,471.09,388.75,451.0,490.44,451.0,128.43,458.04,262.67,451.0,1.0,451.0,549.2,454.57,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,222.0,451.0,685.17,646.0,686.35,428.43,426.51,682.27,580.0,564.0,696.49,686.1,204.64,464.06,1.0,451.0,244.83,451.0,92.32,451.0,1.0,451.0,1.0,451.0,156.91,455.8,161.31,455.68,314.74,451.0,1.0,451.0,1.0,451.0,132.57,473.05,1.0,451.0,1.0,451.0,47.46,455.27,727.76,461.51,1.0,451.0,92.57,455.84,1.0,451.0,248.31,451.0,104.46,452.55,1.0,451.0,78.43,451.0,588.15,462.57,747.43,451.0,378.88,451.0,465.87,473.14,126.25,451.0,254.88,454.53,1.0,451.0,535.81,467.26,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,220.37,451.0,643.2,645.98,643.44,428.21,426.3,639.41,580.0,564.0,654.04,644.49
168,204.64,464.06,1.0,451.0,244.83,451.0,92.32,451.0,1.0,451.0,1.0,451.0,156.91,455.8,161.31,455.68,314.74,451.0,1.0,451.0,1.0,451.0,132.57,473.05,1.0,451.0,1.0,451.0,47.46,455.27,727.76,461.51,1.0,451.0,92.57,455.84,1.0,451.0,248.31,451.0,104.46,452.55,1.0,451.0,78.43,451.0,588.15,462.57,747.43,451.0,378.88,451.0,465.87,473.14,126.25,451.0,254.88,454.53,1.0,451.0,535.81,467.26,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,220.37,451.0,643.2,645.98,643.44,428.21,426.3,639.41,580.0,564.0,654.04,644.49,198.86,460.67,1.0,451.0,240.83,464.14,91.47,451.0,1.0,451.0,1.0,451.0,153.54,451.0,161.17,472.64,307.44,451.0,1.0,451.0,1.0,451.0,129.71,451.0,1.0,451.0,1.0,451.0,46.38,451.0,717.42,451.0,1.0,451.0,89.98,451.05,1.0,451.0,241.2,451.0,102.24,451.0,1.0,451.0,77.89,470.5,576.93,463.0,735.01,471.49,372.1,451.0,461.28,460.86,121.81,451.0,250.59,451.0,1.0,451.0,523.84,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,212.52,452.09,627.25,631.52,627.91,424.64,422.73,623.18,580.0,564.0,637.43,628.61
169,198.86,460.67,1.0,451.0,240.83,464.14,91.47,451.0,1.0,451.0,1.0,451.0,153.54,451.0,161.17,472.64,307.44,451.0,1.0,451.0,1.0,451.0,129.71,451.0,1.0,451.0,1.0,451.0,46.38,451.0,717.42,451.0,1.0,451.0,89.98,451.05,1.0,451.0,241.2,451.0,102.24,451.0,1.0,451.0,77.89,470.5,576.93,463.0,735.01,471.49,372.1,451.0,461.28,460.86,121.81,451.0,250.59,451.0,1.0,451.0,523.84,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,212.52,452.09,627.25,631.52,627.91,424.64,422.73,623.18,580.0,564.0,637.43,628.61,186.8,451.0,1.0,451.0,232.35,468.13,89.92,451.0,1.0,451.0,1.0,451.0,146.1,460.74,153.3,451.0,295.05,451.0,1.0,451.0,1.0,451.0,123.92,451.0,1.0,451.0,1.0,451.0,46.45,451.0,692.4,470.45,1.0,451.0,86.56,451.0,1.0,451.0,230.7,451.0,101.7,473.17,1.0,451.0,74.48,451.0,561.22,451.14,697.23,461.53,362.56,463.38,447.11,463.08,119.6,451.33,241.49,459.92,1.0,451.0,500.59,457.73,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,207.86,452.39,590.76,594.7,591.39,419.35,417.44,586.39,579.92,564.0,599.05,592.48
170,186.8,451.0,1.0,451.0,232.35,468.13,89.92,451.0,1.0,451.0,1.0,451.0,146.1,460.74,153.3,451.0,295.05,451.0,1.0,451.0,1.0,451.0,123.92,451.0,1.0,451.0,1.0,451.0,46.45,451.0,692.4,470.45,1.0,451.0,86.56,451.0,1.0,451.0,230.7,451.0,101.7,473.17,1.0,451.0,74.48,451.0,561.22,451.14,697.23,461.53,362.56,463.38,447.11,463.08,119.6,451.33,241.49,459.92,1.0,451.0,500.59,457.73,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,207.86,452.39,590.76,594.7,591.39,419.35,417.44,586.39,579.92,564.0,599.05,592.48,180.24,466.24,1.0,451.0,224.21,455.68,84.09,451.0,1.0,451.0,1.0,451.0,137.85,451.0,145.89,451.0,279.02,451.0,1.0,451.0,1.0,451.0,118.96,458.46,1.0,451.0,1.0,451.0,42.29,451.0,670.55,467.79,1.0,451.0,87.83,451.0,1.0,451.0,224.88,462.46,96.35,451.0,1.0,451.0,71.48,456.47,548.99,451.0,675.57,451.0,342.7,451.0,433.3,451.0,113.51,468.92,230.27,472.68,1.0,451.0,487.19,460.91,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,199.16,451.0,565.12,568.8,565.72,410.65,408.74,561.38,557.99,564.0,571.46,566.49
171,180.24,466.24,1.0,451.0,224.21,455.68,84.09,451.0,1.0,451.0,1.0,451.0,137.85,451.0,145.89,451.0,279.02,451.0,1.0,451.0,1.0,451.0,118.96,458.46,1.0,451.0,1.0,451.0,42.29,451.0,670.55,467.79,1.0,451.0,87.83,451.0,1.0,451.0,224.88,462.46,96.35,451.0,1.0,451.0,71.48,456.47,548.99,451.0,675.57,451.0,342.7,451.0,433.3,451.0,113.51,468.92,230.27,472.68,1.0,451.0,487.19,460.91,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,199.16,451.0,565.12,568.8,565.72,410.65,408.74,561.38,557.99,564.0,571.46,566.49,172.73,470.84,1.0,451.0,217.58,451.0,79.27,451.0,1.0,451.0,1.0,451.0,131.41,472.31,136.48,451.0,259.96,463.96,1.0,451.0,1.0,451.0,115.03,452.99,1.0,451.0,1.0,451.0,40.38,468.17,638.24,451.0,1.0,451.0,84.59,468.88,1.0,451.0,215.69,465.18,91.08,468.81,1.0,451.0,67.74,451.65,508.56,451.0,653.25,469.89,325.23,470.71,404.4,451.0,108.28,451.0,216.19,451.0,1.0,451.0,456.79,458.99,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,192.25,451.0,521.66,524.7,522.09,404.65,402.74,518.31,515.48,536.04,528.73,522.77
172,172.73,470.84,1.0,451.0,217.58,451.0,79.27,451.0,1.0,451.0,1.0,451.0,131.41,472.31,136.48,451.0,259.96,463.96,1.0,451.0,1.0,451.0,115.03,452.99,1.0,451.0,1.0,451.0,40.38,468.17,638.24,451.0,1.0,451.0,84.59,468.88,1.0,451.0,215.69,465.18,91.08,468.81,1.0,451.0,67.74,451.65,508.56,451.0,653.25,469.89,325.23,470.71,404.4,451.0,108.28,451.0,216.19,451.0,1.0,451.0,456.79,458.99,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,192.25,451.0,521.66,524.7,522.09,404.65,402.74,518.31,515.48,536.04,528.73,522.77,169.07,451.0,1.0,451.0,214.27,467.11,76.52,451.0,1.0,451.0,1.0,451.0,124.73,451.0,129.83,451.0,244.97,451.0,1.0,451.0,1.0,451.0,111.19,451.0,1.0,451.0,1.0,451.0,39.29,451.0,611.04,451.0,1.0,451.0,82.73,459.28,1.0,451.0,209.86,472.84,88.68,464.14,1.0,451.0,65.78,451.0,490.59,463.42,626.83,451.0,312.18,470.17,396.57,462.39,104.76,471.5,210.79,451.0,1.0,451.0,446.2,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,181.25,457.73,506.27,509.37,506.81,397.86,395.96,502.71,500.05,519.47,511.77,507.59
173,169.07,451.0,1.0,451.0,214.27,467.11,76.52,451.0,1.0,451.0,1.0,451.0,124.73,451.0,129.83,451.0,244.97,451.0,1.0,451.0,1.0,451.0,111.19,451.0,1.0,451.0,1.0,451.0,39.29,451.0,611.04,451.0,1.0,451.0,82.73,459.28,1.0,451.0,209.86,472.84,88.68,464.14,1.0,451.0,65.78,451.0,490.59,463.42,626.83,451.0,312.18,470.17,396.57,462.39,104.76,471.5,210.79,451.0,1.0,451.0,446.2,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,181.25,457.73,506.27,509.37,506.81,397.86,395.96,502.71,500.05,519.47,511.77,507.59,166.27,467.22,1.0,451.0,204.17,467.14,74.53,451.0,1.0,451.0,1.0,451.0,121.85,473.33,130.38,463.68,230.6,451.0,1.0,451.0,1.0,451.0,105.64,451.0,1.0,451.0,1.0,451.0,36.49,451.0,590.03,458.4,1.0,451.0,83.68,451.0,1.0,451.0,206.49,451.0,84.6,451.0,1.0,451.0,63.85,468.96,480.67,451.0,607.02,455.79,303.88,451.0,380.85,451.0,102.25,467.42,203.04,469.73,1.0,451.0,432.07,466.95,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,1.0,451.0,176.16,459.61,481.29,483.78,481.57,407.1,405.21,478.33,475.88,494.31,486.91,482.13
